id_publicacion,titulo,publicadora,fecha_publicacion,id_linea_trabajo,id_egresado,id_profesor
1,"Lille Fridolf and I",Grant-Zboncak,2017-09-09,2,959,47
2,"Where the Truth Lies","Durgan, Marquardt and McCullough",2000-10-17,1,727,221
3,"All in a Night's Work",Cremin-Waelchi,1991-06-05,5,204,60
4,"Casting By","Becker Inc",2013-07-29,1,866,56
5,"Elvira Madigan","Crona, Crona and Ullrich",1995-08-05,5,374,126
6,"Presentation, or Charlotte and Her Steak (Présentation ou Charlotte et son steak)","Rippin Group",2008-08-30,6,101,98
7,"Makioka Sisters, The (Sasame-yuki)","Daugherty and Sons",2020-10-13,6,593,14
8,"Face (Visage)","Klocko, Donnelly and Weber",1993-02-21,6,248,58
9,Resistance,"Carter Group",2019-11-22,1,675,236
10,"June 9 ","Effertz Group",2012-12-06,4,131,158
11,"To Wong Foo, Thanks for Everything! Julie Newmar","Reinger Inc",2009-12-23,3,884,63
12,"Novena, The (La neuvaine)","Bartoletti Inc",2002-11-15,6,497,196
13,"Saps at Sea","Halvorson, Davis and Keebler",1986-03-12,2,524,211
14,"Yacoubian Building, The (Omaret yakobean)",Lehner-Ritchie,1988-06-18,3,400,139
15,"Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders","Mann, Hauck and Schroeder",2001-12-10,6,460,108
16,"Killer Joe","Johns LLC",2012-08-18,6,253,116
17,"All American Chump","Koch, Kassulke and Bosco",2008-02-26,2,651,138
18,"Purple Rose of Cairo, The",Glover-McGlynn,2020-11-01,3,306,191
19,"Come Have Coffee with Us","Corkery LLC",2018-01-25,3,57,82
20,"Hue and Cry","Bednar, Heathcote and Barrows",1996-02-08,2,644,66
21,"Big Pun: The Legacy","Dickinson, Baumbach and Christiansen",2000-11-27,1,351,206
22,"Manny & Lo",Stracke-Kohler,2009-04-03,1,776,50
23,Princess,Koepp-White,2023-09-27,1,214,135
24,"Dane Cook: Vicious Circle",Stokes-Grady,1992-11-03,5,991,172
25,"French Twist (Gazon maudit)","Kilback Inc",1991-09-19,6,108,192
26,"Kummelin jackpot","Lynch, Lesch and Hamill",2021-09-09,1,206,249
27,"Sh! The Octopus","Walter and Sons",2004-01-27,5,209,234
28,"Off and Running ","Hauck, Block and O'Conner",1993-04-03,1,11,173
29,"Clear History","Larson Group",2017-02-24,6,718,108
30,"The Good Son","Klein, Buckridge and Weber",1987-02-05,3,365,244
31,"I Love You, I Love You (Je t'aime je t'aime)","Upton LLC",2004-03-01,2,976,80
32,"Blue Chips","Kautzer, Schmidt and Johns",1992-01-05,4,410,175
33,"Aristocrats, The",Lowe-Fritsch,2005-01-01,6,902,147
34,Zotz!,Lindgren-Murray,2013-04-21,1,645,223
35,"On His Own (a.k.a. My Apprenticeship) (V lyudyakh)",McGlynn-Denesik,2009-10-30,6,74,45
36,"Black Legion","Glover, Rath and Nolan",2014-03-03,4,894,36
37,"Forever Mine",Zemlak-Grimes,1992-10-30,1,251,14
38,"The Chaos Class Failed the Class",Lowe-Wunsch,1991-10-31,4,667,120
39,"Witchfinder General (Conquerer Worm, The)","Metz, Abernathy and Gerlach",1987-02-07,3,529,190
40,"From B Movie to Cult Film: Western",Koss-Crona,2006-04-04,3,750,112
41,"In the Army Now","Boehm, Macejkovic and Harber",2012-05-22,6,960,91
42,"Room Service",Dare-Muller,2013-09-04,2,855,247
43,"William Kunstler: Disturbing the Universe","Schumm and Sons",1985-05-26,3,908,46
44,"Breakheart Pass",Grady-Torp,2009-08-20,6,978,136
45,"Gold Diggers of 1935",Weimann-Toy,2000-05-01,4,973,195
46,"Red Psalm (Még kér a nép)",Kub-Kassulke,1994-12-02,2,139,39
47,"Weekend (a.k.a. Le Week-end) (Week End)",Bauch-Blanda,2011-05-16,1,700,165
48,"Aimée & Jaguar",Rolfson-Pfeffer,2016-12-28,1,6,174
49,"No Looking Back",Stehr-Hessel,1989-08-17,3,416,44
50,"I Have Found It (Kandukondain Kandukondain)","Pouros, Mante and Beer",2005-01-30,6,21,190
51,"Century of the Self, The",Dickens-Adams,1987-05-30,2,229,199
52,Michael,"Stokes, Feeney and Blick",1990-01-30,1,774,24
53,Hercules,"Bernier Inc",2000-02-17,4,110,156
54,"Marilena de la P7","Schulist, Nienow and Klein",2016-04-18,6,688,16
55,"Men Cry Bullets","Baumbach LLC",2020-08-01,2,384,28
56,Moordwijven,Walter-Bode,1987-08-17,3,100,39
57,"Home from the Hill","Fritsch, Rau and O'Hara",2005-05-20,3,139,56
58,"Maria's Lovers","Swaniawski, Bauch and Emmerich",2010-03-19,6,375,150
59,"Class of 1999","Douglas Inc",1996-02-29,1,37,70
60,"The Woman on Pier 13","Auer Inc",2011-06-25,6,789,234
61,"Ask the Dust","Marvin, Grimes and Bode",2003-07-13,6,760,181
62,"Straits of Love and Hate, The (Aien kyo)","Weissnat, Kertzmann and Stoltenberg",1991-05-16,1,793,18
63,"Business, The","Boyer, Breitenberg and Bartoletti",2014-04-28,4,962,65
64,"Match, The",Rolfson-Leannon,2010-08-25,3,873,86
65,"Ecstasy (Éxtasis)",Hilpert-Reilly,2017-07-09,2,736,220
66,"Romeo Must Die","Rippin and Sons",2004-02-23,5,127,189
67,"Four Days in July","Bahringer, Kerluke and O'Conner",2016-02-13,5,865,179
68,Lucy,"Upton and Sons",2000-06-01,6,77,225
69,Crisis,Kilback-Hettinger,2007-09-26,4,944,80
70,"Dolly and Her Lover (Räpsy ja Dolly eli Pariisi odottaa)","Blanda, Kshlerin and Jakubowski",2003-05-21,3,970,191
71,"Santa Clause, The","Stoltenberg and Sons",2014-01-07,6,620,249
72,"Time of the Gypsies (Dom za vesanje)","Gleason and Sons",1987-10-21,1,511,89
73,"Castle Keep","Wolff, Swift and Grady",2019-08-27,1,40,87
74,"Redes (Fishermen's Nets) (Wave, The)","Wiza LLC",2001-05-02,1,984,226
75,"Mister Buddwing",Lakin-Lowe,2014-01-27,1,90,145
76,"Manhattan Baby",Legros-Blick,2022-10-14,4,916,58
77,"Double Hour, The (La doppia ora)",Berge-Ruecker,1986-10-25,1,679,42
78,"Nicht mein Tag","Russel, Wolf and Bergstrom",2012-04-27,1,9,150
79,"Travels with My Aunt","Bednar and Sons",2001-04-17,6,481,45
80,"Chain Letter",Block-Armstrong,2005-05-23,6,182,35
81,Lucky,"Hilll Inc",1991-04-29,2,789,16
82,"Chemical Brothers: Don't Think, The",Bernier-Koelpin,1990-10-11,3,516,190
83,"Zero Dark Thirty","Cruickshank Group",2003-12-10,1,625,75
84,"Reel Rock 8 ",Kuhn-Hickle,2013-04-09,1,399,143
85,"G.I. Joe: Retaliation","Berge and Sons",1986-07-16,5,148,187
86,"Boxcar Bertha",Herman-Haley,1992-01-24,2,877,206
87,"Color of Pomegranates, The (Sayat Nova)","Grady Inc",2005-04-09,4,79,111
88,"Last Seduction, The","Moore LLC",1989-11-04,6,137,137
89,"Time for Drunken Horses, A (Zamani barayé masti asbha)","Hettinger LLC",2000-03-31,4,87,115
90,"Princess and the Goblin, The",Gislason-Braun,2005-08-01,3,224,90
91,"Voyage of the Damned","Doyle, Conroy and Kihn",1987-12-19,5,482,164
92,"Sometime in August (Mitte Ende August)",Mohr-Reilly,1997-12-20,1,317,80
93,"Hitcher, The","Ferry Inc",2022-03-22,5,889,8
94,"Hellsinki (Rööperi)",Kohler-Strosin,1992-11-07,3,298,178
95,"Accidents Happen","Halvorson, Bayer and Corwin",1996-06-30,3,232,18
96,"Aries Spears: Hollywood, Look I'm Smiling","Kuhn Inc",1987-04-04,6,853,22
97,"Bright Young Things","Wisoky, Satterfield and White",2000-09-15,6,520,146
98,"Stranger on the Prowl (Imbarco a mezzanotte)","Osinski and Sons",2001-09-04,2,799,136
99,"Method to the Madness of Jerry Lewis",Paucek-O'Reilly,2006-12-16,2,886,24
100,2012,"Steuber Inc",1993-08-26,3,4,42
101,"Sebastian Maniscalco: What's Wrong with People?",Stracke-Altenwerth,2016-10-31,3,780,149
102,"Wrestling Queens","Moore, Daniel and Gottlieb",2009-11-14,3,148,183
103,"3 Strikes","Miller and Sons",1988-04-03,4,410,178
104,"Decline of the American Empire, The (Déclin de l'empire américain, Le)","Watsica, Bins and Hagenes",1987-10-16,4,823,159
105,"Paleface, The","O'Kon, Flatley and Larkin",1996-10-06,4,106,114
106,"The Possession of Michael King","Boehm, Hodkiewicz and Dickinson",2009-06-04,5,484,44
107,"Circles (Krugovi)",Lueilwitz-Beatty,1985-10-04,2,620,68
108,"Holy Man, The (Mahapurush)",Kozey-Koelpin,2017-05-23,4,362,216
109,"Ocean Heaven ","Lindgren, Hintz and Schulist",2009-08-29,2,402,6
110,"Naked Man, The",Langworth-Bradtke,1997-09-20,1,658,244
111,"Bastards (Les salauds)","Feil LLC",2019-09-15,6,693,107
112,Pizzas,"Fadel, Borer and Hintz",2006-05-24,1,537,244
113,"Temptation of St. Tony, The (Püha Tõnu kiusamine)","Bins, Funk and Hahn",1994-03-03,2,643,193
114,"Tango & Cash","Herman and Sons",2015-09-03,5,340,249
115,"Out Cold","Carter Inc",2013-01-28,4,559,168
116,"Twisted Nerve",Schuppe-McClure,2009-10-26,5,116,154
117,"Apostle Peter and The Last Supper","Wilkinson and Sons",2008-03-13,4,703,128
118,"Pixar Story, The","Moore LLC",1987-02-26,6,93,149
119,Kazaam,"Bernier Inc",1997-12-02,4,512,135
120,"Inbetweeners Movie, The","Predovic, Corkery and Weissnat",2009-09-11,4,182,225
121,"Times and Winds (Bes vakit)","Kassulke LLC",1993-01-04,1,946,244
122,"Rollo and the Woods Sprite (Rölli ja metsänhenki)","Heathcote, Wuckert and Kshlerin",1998-06-09,6,601,128
123,"In a Dark Place","Fay, Flatley and Rowe",2007-01-22,4,36,91
124,"Friends, The (Les Amis)",Aufderhar-Hills,1989-11-02,4,613,160
125,"Rouva presidentti","Deckow, Hintz and White",1988-03-21,6,68,23
126,Baxter,"Stamm Inc",2000-08-24,5,35,65
127,"IMAX: Coral Reef Adventure","Wolf Group",2003-06-23,3,235,222
128,"Death of a Salesman","Littel Inc",1993-06-01,3,131,53
129,"Face (Visage)",Bergstrom-Dickinson,2016-09-27,4,458,76
130,"El Escarabajo de Oro","Denesik, O'Kon and Goldner",2007-02-17,4,335,92
131,"Second Civil War, The","Lind, Abernathy and Johnston",2010-07-15,6,719,179
132,"Legend of Hell House, The","Moore LLC",1998-07-20,6,803,235
133,"Heart Is Deceitful Above All Things, The",Stroman-Robel,1988-02-04,4,818,200
134,"My Sons (Musuko)","Conroy, Willms and Torp",2012-04-30,1,120,33
135,"Absolute Beginners","Muller LLC",1985-06-06,3,220,242
136,"Patrik Age 1.5 (Patrik 1,5)","Muller, Fisher and Lesch",1993-09-30,5,976,50
137,Concussion,"Glover and Sons",2022-01-09,1,998,117
138,"Chelsea on the Rocks","Terry, Ledner and Stoltenberg",2006-06-20,3,135,182
139,Restraint,Schulist-Krajcik,1985-08-05,1,248,42
140,"Some Like It Hot",Bernier-Dicki,2009-11-30,5,319,138
141,"Citizen X",Kilback-Stark,1991-04-24,1,129,74
142,"Open Grave",Walsh-Welch,1987-08-29,4,892,35
143,"Curse of the Demon (Night of the Demon)","McDermott, Kshlerin and Nitzsche",2002-11-04,2,147,119
144,"Parting Glances",Homenick-Kovacek,2009-01-20,1,599,151
145,"No Looking Back","Doyle Group",2023-08-14,2,956,245
146,"Voyage to the Beginning of the World (Viagem ao Princípio do Mundo)",Balistreri-Hayes,1988-07-16,3,845,39
147,"First Men in the Moon","Jenkins, Glover and Lindgren",1986-11-26,6,461,42
148,"Harmful Insect (Gaichu)",Ondricka-Kihn,2012-02-09,5,961,165
149,"Cartoon All-Stars to the Rescue","Tremblay and Sons",1988-04-23,5,203,244
150,"Flintstone Kids' Just Say No Special, The","Gerlach LLC",2002-12-24,4,68,42
151,"Le printemps, l'automne et l'amour","Stanton, Wyman and Prosacco",2001-06-25,5,690,135
152,"Empire of the Ants",Cassin-Okuneva,2007-02-27,4,270,3
153,"Breaktime, The (Zang-e Tafrih) (Recess)","Jacobi, Schultz and Sanford",1989-02-13,1,809,36
154,"Audrey Rose","Moore, Orn and Kuhic",2014-06-25,6,814,154
155,"Speed Zone! (a.k.a. Cannonball Run III)",Donnelly-Koss,1999-09-06,2,487,94
156,"American Buffalo","Metz, Mills and Jaskolski",1999-12-17,3,679,106
157,"Blood and Wine (Blood & Wine)","Lynch, Rolfson and Runte",2010-12-18,3,978,52
158,"Wonder Man","Ruecker, Schmitt and Weber",2009-06-04,6,509,93
159,"Possession of David O'Reilly, The ","Hilpert LLC",2000-07-07,2,261,89
160,"Girls, Les",Reichel-Kessler,2006-02-06,1,378,207
161,"Des gens qui s'embrassent",Terry-Crona,2005-09-18,2,627,5
162,"Party, The (Boum, La)","Lang, Anderson and Hintz",2007-04-10,4,699,161
163,"Moon 44","Maggio LLC",1996-08-30,2,799,158
164,"Price of Glory","Bruen and Sons",1990-05-06,1,434,33
165,"Report to the Commissioner","Kulas Group",1993-12-11,1,602,234
166,"City of Joy",Beahan-Sawayn,1985-10-03,6,706,228
167,Venom,"Feeney, Hermann and Gleason",1994-02-10,5,383,108
168,"Night of the Demons","Brown, Medhurst and Gorczany",1994-10-20,4,456,66
169,"Zatoichi and the Chess Expert (Zatôichi Jigoku tabi) (Zatôichi 12)","Wilderman, Mraz and Blick",1992-05-21,5,216,5
170,"Canciones de amor en Lolita's Club","Armstrong Inc",1990-02-02,5,870,108
171,"Lady in Cement","Schamberger and Sons",1996-06-13,6,292,142
172,"Thief of Paris, The (Le voleur)","Schulist, Waters and Hoppe",2010-07-11,1,319,151
173,"Pat and Mike","Herzog, Turcotte and Keeling",2002-05-22,3,388,231
174,"Grant Morrison: Talking with Gods",Bogan-Rippin,2019-11-04,5,53,27
175,P2,Gorczany-Schoen,1992-06-01,3,770,76
176,"United States of Leland, The","Mills, Hagenes and Franecki",2002-10-26,1,97,4
177,"And God Created Woman (Et Dieu... créa la femme)","Zboncak and Sons",1997-04-18,3,319,215
178,"This Christmas","Satterfield, Rolfson and Veum",2010-06-25,5,714,71
179,"House II: The Second Story",Donnelly-Sawayn,1998-03-14,2,767,212
180,"Brink of Life (Nära livet)",Mertz-Skiles,1987-01-16,5,37,21
181,"Sound of the Mountain (Thunder of the Mountain, The) (Yama no oto)","Hilll, Brekke and Macejkovic",1996-12-16,3,910,108
182,"Dan in Real Life","Cassin, Stiedemann and DuBuque",2023-03-19,5,57,151
183,Luther,"Hane and Sons",2017-11-05,1,515,239
184,Presto,"Bernier, Johnston and Haag",1994-03-29,3,68,124
185,"Wolverine, The","Rutherford and Sons",1995-11-19,5,711,20
186,"Patema Inverted","Thompson, Simonis and Glover",1987-05-22,5,776,31
187,War,Stanton-Crist,2014-02-07,3,425,4
188,"Antonia's Line (Antonia)","Auer Group",1991-11-18,1,996,187
189,"Chorus Line, A","O'Reilly Group",2016-01-07,5,280,102
190,"Killer at Large",Ullrich-Schimmel,2008-06-17,5,664,61
191,"Christmas Party, The (Joulubileet)","Hermann, Lueilwitz and Langworth",1987-06-23,5,130,94
192,"Warriors, The",Kreiger-Muller,2005-05-06,5,358,72
193,Chillers,"Lang, Orn and Champlin",2010-06-19,2,390,89
194,"Race for Your Life, Charlie Brown","Boehm, Fahey and Welch",2000-01-26,4,705,168
195,"Blood Beach",White-Kilback,2017-03-20,2,974,95
196,"Mikado, The","Kemmer and Sons",2020-08-13,3,690,238
197,"Day After, The","Jaskolski, Toy and Lesch",2008-02-06,3,610,113
198,"Promise, The (Wu ji)","Heidenreich and Sons",1992-03-02,6,554,176
199,"Touch of Class, A",Johnston-Prohaska,2022-08-17,1,961,89
200,"Neighbor, The","Hudson Group",1999-10-19,6,251,24
201,"Usual Suspects, The","Kozey, Cremin and Breitenberg",1985-03-09,4,359,133
202,Touchback,"Deckow Inc",2000-02-09,2,436,56
203,"Jetsons: The Movie","Spinka, Rath and Beer",2003-07-06,1,109,210
204,"They Shoot Horses, Don't They?",Nader-DuBuque,2014-05-27,1,542,127
205,"Magnum Force",Smitham-Cole,2010-06-10,5,136,147
206,"Abigail's Party","Balistreri LLC",1988-12-27,3,750,102
207,"Captain EO",Gibson-Heaney,2014-07-26,5,105,203
208,"Someone to Watch Over Me","Goldner, Howe and Schuppe",2016-09-18,4,857,30
209,R,Balistreri-Schumm,1994-08-25,4,877,32
210,"Collision Course","Swaniawski, Abernathy and Bradtke",1989-03-05,5,466,121
211,Leila,"Langworth Group",1996-08-17,6,288,117
212,"Short Cuts","Padberg, Treutel and Hand",2015-06-05,2,850,70
213,"Secret of Santa Vittoria, The","Kling, Wunsch and Prosacco",1991-02-15,2,331,103
214,Stacy,"Russel Inc",2002-02-07,4,345,152
215,Resistance,"Rath Group",1991-04-23,4,310,203
216,"Timecrimes (Cronocrímenes, Los)",Botsford-O'Kon,2001-07-08,3,142,198
217,"One Way Passage","Tremblay Group",2016-04-26,4,824,12
218,"My New Gun",Marvin-Renner,1988-02-21,1,56,39
219,"Palo Alto",Huel-Cassin,2000-04-23,5,292,201
220,"Office Killer","Fisher, Jenkins and Langworth",2011-04-17,1,176,176
221,"Dead Men Tell","Schinner LLC",2005-10-30,1,607,156
222,Beaufort,Maggio-Wintheiser,2019-12-17,1,745,57
223,"Oranges, The","Kuhn Inc",1985-12-12,6,673,176
224,"Last Voyage, The",Welch-Windler,2013-05-30,1,822,218
225,Mediterraneo,"Keeling, Rogahn and Rogahn",1993-03-10,4,566,110
226,Recount,"Heaney, Cassin and Hermiston",2021-05-16,6,3,156
227,"Operation Crossbow","Friesen and Sons",2023-03-09,1,609,124
228,"Food of the Gods II",Bogisich-Abernathy,2006-04-03,6,546,113
229,"Where the Heart Is","Green Group",2017-12-12,1,462,152
230,"Another Man's Poison","O'Reilly, Murazik and Langworth",2014-01-17,4,454,191
231,"Art of War, The",Ryan-Kshlerin,2008-07-27,5,391,46
232,"Last Rites of Joe May, The",Schroeder-Brown,2020-12-22,3,488,106
233,"Dead Man's Walk",Crona-Kuvalis,2007-12-10,1,347,105
234,Shadowboxer,Hand-Smith,2002-10-26,5,742,202
235,"Porco Rosso (Crimson Pig) (Kurenai no buta)",Schultz-Predovic,2013-10-10,2,226,1
236,Rio,"Hayes and Sons",2023-01-09,5,748,144
237,"Adventures of Priscilla, Queen of the Desert, The","Russel, Ortiz and Wisoky",1997-11-19,3,855,146
238,"Ong-Bak 3: The Final Battle (Ong Bak 3)","Quitzon, Mertz and Schuster",2014-12-23,4,655,191
239,"Shoulder Arms",Skiles-Lang,2002-03-04,3,50,191
240,"Bat, The",Doyle-Conroy,1989-05-13,6,673,80
241,"Lonesome Dove","Beatty, Rolfson and Botsford",1994-09-18,6,543,129
242,"Man of the Century","Pfannerstill and Sons",1986-01-15,3,279,172
243,"Good Wife, The",Wisozk-Pagac,1991-04-26,3,671,237
244,"Night at the Museum",Lang-Carter,1997-03-30,3,267,57
245,"Knights of Badassdom","Rau, McCullough and Romaguera",2000-10-17,1,853,224
246,"Macbeth (a.k.a. Tragedy of Macbeth, The)","Kub Inc",1999-03-28,5,187,147
247,"Bear's Kiss","Blick, Collins and Grady",2015-10-28,2,73,178
248,Zachariah,"Reinger LLC",2001-07-31,4,878,92
249,Koch,Little-Frami,2011-06-09,2,39,160
250,"Frozen, The","Kessler Group",2019-12-07,2,451,3
251,"Cosmic Psychos: Blokes You Can Trust","Macejkovic, Kuvalis and Batz",2014-12-27,2,802,182
252,"Red Cliff (Chi bi)","Casper Group",1990-12-20,2,634,249
253,"Damsel in Distress, A",Mertz-Von,2014-04-05,5,63,222
254,"Barnyard: The Original Party Animals","Ledner Group",2010-10-28,5,827,85
255,"Cloud-Capped Star, The (Meghe Dhaka Tara)",Bergnaum-Trantow,2001-06-02,1,153,127
256,"Shadow Boxers","Gibson, Lang and Gleichner",2010-04-24,3,603,144
257,"Keep the River on Your Right: A Modern Cannibal Tale","Yost, Klein and Koss",2015-07-30,5,579,127
258,Orlando,"Tremblay, Zulauf and Deckow",1991-05-06,2,631,18
259,"Mother, Jugs & Speed",Rosenbaum-Mueller,1996-07-02,1,740,170
260,"For a Woman (Pour une femme)",Kuhic-Parisian,2016-10-10,5,617,48
261,"Working Girl",Hodkiewicz-Haag,2003-12-02,5,1000,206
262,"Tyler Perry's The Family That Preys","Kunze, Price and Sawayn",2010-04-24,5,59,73
263,"Descendants, The","Morissette, Crist and Rosenbaum",1988-02-23,3,900,177
264,Stoker,Renner-Braun,2000-06-05,5,611,80
265,"City on Fire (Lung fu fong wan)","Prohaska and Sons",2004-05-31,4,429,220
266,"Stranger by the Lake (L'inconnu du lac)",Ratke-Kessler,2022-08-15,2,531,63
267,Katatsumori,"Carroll Group",2012-08-27,2,313,126
268,"Stanley & Iris",Cartwright-Mertz,1997-09-25,2,970,196
269,"Gagarin: First in Space","Kulas LLC",2009-05-02,5,338,91
270,Brake,"Hand, Bartoletti and Wintheiser",2021-10-01,2,946,81
271,Deadline,"Hagenes and Sons",2017-06-16,6,838,194
272,"Day a Pig Fell Into the Well, The (Daijiga umule pajinnal)",Stanton-Schuppe,2019-07-04,5,70,20
273,"Souls for Sale","Durgan LLC",2002-02-28,4,800,151
274,"Shark Tale",Batz-Bechtelar,1988-12-19,2,914,145
275,"Camera Buff (Amator)",Schiller-Baumbach,2022-02-26,2,692,243
276,"Blood Feast","Osinski, Kerluke and Little",2007-07-02,1,524,68
277,"Let Fury Have the Hour","Konopelski and Sons",2009-08-24,2,639,44
278,"Triangle (Tie saam gok)","Wisozk, Feil and Schroeder",2017-01-08,3,103,40
279,"Shaolin Temple 3: Martial Arts of Shaolin (Nan bei Shao Lin) (Martial Arts of Shaolin)","Marks Inc",2000-04-28,4,689,221
280,"The Flower","Lynch, Runolfsdottir and Kemmer",2000-11-26,5,33,173
281,"Five Weeks in a Balloon",Boyer-Schowalter,2000-11-02,5,581,134
282,"Mysterious Skin","Brekke Group",2007-07-14,3,301,196
283,"Third Man, The","Glover, Runte and Streich",2014-09-23,1,893,108
284,"Godzilla vs. Mothra (Mosura tai Gojira)","Schmidt, Swaniawski and Donnelly",2008-07-20,1,955,86
285,"That Darn Cat!","Ernser Inc",1992-07-29,4,669,52
286,"Phantom of the Opera, The","Parisian, Connelly and Kessler",1997-02-05,4,975,246
287,"The Loft","Goldner, D'Amore and Hills",2013-03-04,5,28,144
288,"Harvard Beats Yale 29-29","Parisian and Sons",2002-04-09,1,437,75
289,"Vampire Journals",Renner-Ruecker,1990-02-09,2,860,130
290,"Stargate: Continuum","Towne and Sons",2015-11-15,4,447,10
291,1,Koss-Lakin,1992-07-14,2,117,60
292,"My Afternoons with Margueritte (La tête en friche)","Russel and Sons",1999-04-15,1,221,211
293,Imagine,"Rosenbaum, Purdy and Robel",1999-05-28,5,183,172
294,"Story of Me, The (O contador de histórias)",Wiegand-Ledner,1986-08-15,5,227,48
295,"Coming Home (Gui lai)","Rohan, Streich and Gusikowski",2014-03-15,2,333,210
296,"Magic Magic","Huels, Goodwin and Kling",2000-07-18,3,45,186
297,Wrong,Abernathy-Stanton,1992-01-25,1,181,139
298,"Black Cadillac","Tillman, Hills and Schimmel",2006-08-02,4,799,229
299,"Mount St. Elias",Schaden-Reichert,2006-08-28,4,953,163
300,"Man at Bath (Homme au bain)","Botsford Group",2008-04-22,4,145,208
301,"Black Ice (Musta jää)","Hilll, Hyatt and Kuhic",2019-03-14,4,664,108
302,November,"Hettinger and Sons",2010-02-16,1,383,23
303,"Return, The (Vozvrashcheniye)",Cronin-Wyman,2010-02-21,2,210,114
304,"Body of Evidence","Koss and Sons",1992-03-15,5,530,217
305,"Daddy Long Legs","Daugherty, Hackett and DuBuque",1990-11-15,3,694,108
306,Paparazzi,"Schinner, Reynolds and Streich",2021-10-19,1,417,108
307,"My Science Project",Bogisich-Harris,2009-10-15,2,820,213
308,Eulogy,Franecki-Brown,2012-08-22,4,713,94
309,"A Flintstones Christmas Carol","Quitzon Group",2019-12-14,2,174,32
310,Cialo,"Jones, Hickle and Balistreri",1989-11-03,5,575,231
311,United,Dietrich-Klocko,2022-04-08,6,806,176
312,"Bat, The",Conn-Lockman,1996-04-29,3,907,58
313,"Matriarch, The (Lieksa!)","McClure, Boyle and Heidenreich",2009-07-30,1,633,120
314,"Chant of Jimmy Blacksmith, The","Kshlerin, Rice and Bergnaum",1989-12-26,1,776,65
315,"Murderer Lives at Number 21, The (L'assassin habite... au 21)","Romaguera and Sons",2009-03-28,5,271,132
316,"Yesterday, Today and Tomorrow (Ieri, oggi, domani)",Bode-Hermiston,1997-08-28,4,573,80
317,"Igby Goes Down","Balistreri, Hilll and Connelly",1995-05-29,5,659,39
318,Aurora,"Williamson, Stroman and Morissette",2022-02-25,6,643,208
319,Them!,"Larson Group",2023-05-18,3,902,165
320,"Loose Change 9/11: An American Coup","Orn and Sons",1992-12-09,6,55,18
321,"And So It Goes","Marks, Corkery and Deckow",2006-08-10,5,812,39
322,"Mrs. Miniver","Lakin, Bogisich and Ernser",2008-08-25,2,791,65
323,"Paris by Night",Reilly-Heaney,2016-10-06,2,917,242
324,Metroland,"Cartwright, Mertz and Hand",2023-05-29,5,592,31
325,"Silent Hill","Willms and Sons",1988-04-01,2,659,197
326,"Ed's Next Move","Osinski Inc",1999-10-23,3,266,85
327,"Aries Spears: Hollywood, Look I'm Smiling","Kautzer, Shanahan and Rosenbaum",2010-08-08,4,746,206
328,"Sinners and Saints",Reinger-Zulauf,2017-06-14,5,559,162
329,"Dead Fury","Nolan, Smith and Larkin",2014-01-22,1,910,118
330,"White Sands",Romaguera-Ankunding,2021-01-24,1,497,67
331,"Bastards of the Party",Schoen-Trantow,2014-11-14,4,826,246
332,"Party Girl",Grady-Sauer,2023-04-16,2,424,113
