id_publicacion,titulo,publicadora,fecha_publicacion,id_linea_trabajo,id_egresado,id_profesor
333,"Pursuit to Algiers","Heller, Goyette and Kirlin",1990-04-24,2,521,220
334,"Wild Hunt, The","Senger LLC",1996-05-13,6,419,4
335,"Made for Each Other","Weissnat and Sons",2013-01-20,4,490,27
336,"East Side Story",Mosciski-Little,1996-01-23,1,797,225
337,"Pursuit of D.B. Cooper, The (a.k.a. Pursuit)","Anderson LLC",1987-06-10,3,594,124
338,"The Referees","Berge Group",1987-12-10,1,764,133
339,"According to Greta",Raynor-Baumbach,1997-06-13,1,864,222
340,"Getting Back to Abnormal",O'Connell-Huels,2019-07-01,1,937,144
341,"Teacher's Pet","Breitenberg, Marvin and Mayert",1992-06-01,2,970,180
342,"Bless the Child",Flatley-Marquardt,1988-06-14,1,816,172
343,"Loaded Weapon 1 (National Lampoon's Loaded Weapon 1)","Veum, Wyman and Berge",2015-05-17,5,870,200
344,"McHale's Navy",Kshlerin-Bergstrom,1996-12-14,2,165,204
345,"Song Is Born, A",Erdman-Legros,2013-08-02,1,845,79
346,"Straight Story, The","Fay Inc",2004-12-24,3,113,1
347,"Rookie of the Year",Leannon-Ferry,2022-10-24,3,348,72
348,"At Sword's Point","McCullough Inc",1996-07-21,2,206,75
349,"Support Your Local Gunfighter","Anderson, Hammes and Hudson",2013-07-18,2,850,247
350,"Richard Pryor Here and Now","MacGyver, Roob and Russel",1987-01-20,3,504,2
351,Sekirei,Cronin-Flatley,1991-10-29,6,279,71
352,"Paperboy, The",Okuneva-Morissette,1999-02-11,4,848,107
353,"Puff, Puff, Pass","Bode Inc",2017-03-15,5,747,190
354,"Hannah Free","Beatty and Sons",2012-07-22,3,639,238
355,"Blood on Satan's Claw (a.k.a. Satan's Skin)","Morar Group",2005-04-10,4,861,203
356,Dillinger,McDermott-Considine,2003-07-30,4,240,52
357,"Who Killed Vincent Chin?","Thompson Inc",1997-11-15,6,90,148
358,O,Monahan-Paucek,2012-12-20,5,375,127
359,"Festival in Cannes","Berge, Rempel and Roberts",1987-01-21,5,523,232
360,Zardoz,"Skiles Inc",2002-03-14,4,352,160
361,"In the Hands of the Gods",Stamm-Goyette,1997-10-13,3,482,70
362,"Runner Runner","Harvey Inc",1994-10-29,5,431,69
363,"O Auto da Compadecida (Dog's Will, A)","Mann Inc",2020-12-01,2,379,85
364,"Hit List, The",Kerluke-Kreiger,2016-09-02,6,22,172
365,"Trigun: Badlands Rumble","Kling Inc",1989-10-27,3,27,218
366,"Tin Toy",Schuster-Nicolas,2023-01-14,5,326,179
367,"Bowling for Columbine",Beier-Zemlak,2012-09-20,1,259,64
368,Bluebeard,Heaney-Leffler,1991-03-04,5,121,128
369,"What's the Worst That Could Happen?",Fisher-Kuhic,2010-05-21,3,390,158
370,"Wrath of the Titans",Willms-Zulauf,2020-06-29,5,621,49
371,"I Met Him in Paris","Leffler Inc",2019-03-16,5,607,163
372,"Last Vegas",Hegmann-Botsford,2023-12-10,1,681,59
373,"Long Weekend","Ratke Group",2020-02-26,6,927,10
374,"Atragon (Kaitei Gunkan)","Farrell, Wilkinson and Hammes",2014-03-05,5,696,180
375,"Enemies: A Love Story","Reinger Group",2006-08-03,4,603,85
376,"A Master Builder","Shanahan, Jacobi and Dare",2016-07-22,1,910,160
377,"Once Upon a Time in China III (Wong Fei-hung tsi sam: Siwong tsangba)","Kuphal, Deckow and Durgan",2020-10-09,1,447,86
378,"Hole in My Heart, A (Hål i mitt hjärta, Ett)","Roob and Sons",1998-06-15,2,381,71
379,"Ixcanul Volcano","Anderson, Stark and Swaniawski",1993-12-13,1,582,22
380,"Dead Rising: Watchtower",Swift-Bauch,1987-07-14,4,842,143
381,"Ronde, La","Cruickshank, Goldner and West",1990-10-22,6,328,212
382,"Last Valley, The","Baumbach, Schimmel and Wisozk",2009-12-09,2,833,147
383,"Last Run",Bradtke-Fahey,1987-02-13,1,332,117
384,"Bat Whispers, The","Borer Inc",2018-01-20,6,76,159
385,"Paper Man",Bartoletti-Abbott,2013-04-23,4,968,32
386,"Passionate Friends, The (a.k.a. One Woman's Story)","Denesik Inc",1992-06-26,2,189,112
387,"Great Ecstasy of Woodcarver Steiner, The (Große Ekstase des Bildschnitzers Steiner, Die)","Marquardt, McKenzie and Mertz",2013-03-06,6,162,24
388,"End of Love, The","Deckow, Conn and Swaniawski",2019-09-17,4,247,196
389,"Factory Girl","Effertz Inc",2005-08-24,6,58,149
390,"L!fe Happens",Muller-Glover,2020-01-05,6,607,77
391,"Big Stan","Greenholt, Torphy and Lehner",2022-10-01,2,782,18
392,"Lost in Siberia (Ausgerechnet Sibirien)","Ebert LLC",2008-02-13,2,726,212
393,Traveller,Hahn-Hauck,1995-01-25,5,402,152
394,"Bachelor Party","Labadie LLC",2022-05-12,4,355,27
395,Pageant,"Bailey, Littel and Brekke",1988-08-05,5,212,59
396,"Too Late Blues",Connelly-Cole,2010-10-28,1,84,94
397,"Unfaithfully Yours",Kuhn-Jakubowski,2008-11-09,2,907,96
398,"Robinson Crusoe (Daniel Defoe's Robinson Crusoe)",Brown-Lowe,2004-11-23,2,655,218
399,"Adam Had Four Sons",Rowe-West,2022-04-01,2,967,60
400,"The Hearse","Ledner, Grant and Kovacek",2016-10-02,5,84,231
401,"Snow White","Daniel LLC",1987-09-05,3,47,89
402,"Hammer of the Gods",Cassin-Keeling,1997-06-08,1,193,240
403,"The Secret of Convict Lake","Williamson LLC",1990-03-17,4,464,44
404,Lambada,"Kutch Inc",2013-03-10,4,86,143
405,"Fighter in the Wind","Connelly Inc",2019-01-06,1,955,215
406,"Cosmic Monster, The",Mitchell-Feil,1985-11-10,1,159,176
407,"Matrix Reloaded, The","Boehm, Marquardt and Cole",2008-12-20,5,53,161
408,"Pee-wee's Big Adventure",Borer-Lang,2017-10-29,5,718,247
409,"Spies Like Us",Borer-Barrows,2010-05-15,5,13,74
410,"Man Escaped, A (Un  condamné à mort s'est échappé ou Le vent souffle où il veut)","Friesen and Sons",2003-03-07,5,337,192
411,"Fear, The",Sporer-Emmerich,2019-05-29,5,987,147
412,"Other Side of Bollywood, The",Aufderhar-Goyette,1992-07-07,6,699,22
413,Elles,"Swaniawski and Sons",1986-08-18,5,324,188
414,Five,"Haley Inc",2017-01-22,6,460,66
415,"Young Master, The (Shi di chu ma)","Dietrich Inc",2017-11-03,2,746,12
416,"Chimes at Midnight (Campanadas a medianoche)","Friesen Group",1989-03-15,1,142,95
417,"Raising Arizona","Okuneva, Cummings and Emmerich",2016-09-12,5,429,93
418,"Lot Like Love, A","Keebler Group",1999-04-15,5,327,34
419,"All the Boys Love Mandy Lane","Reinger, Champlin and Moore",2021-06-13,2,622,38
420,"Sweetest Thing, The","Mertz and Sons",2013-08-08,1,696,134
421,"Operation 'Y' & Other Shurik's Adventures","Runolfsson, Walter and Kub",2017-10-15,1,981,170
422,"The Fox & the Child","Cruickshank and Sons",1986-04-03,4,386,99
423,"Bitter Creek","Wintheiser Group",2008-04-21,3,37,241
424,"Save the Last Dance",Abernathy-Hammes,2005-03-25,1,68,129
425,"Playing by Heart",Daniel-Rowe,2007-02-14,3,731,208
426,"Joan of Paris","Cummings, Dietrich and Champlin",1986-04-03,4,666,1
427,Exit,"Senger Inc",1997-09-28,2,794,7
428,"Handsome Harry",Buckridge-Fahey,1993-03-16,4,134,22
429,"White Chicks",Deckow-Wiegand,2023-08-05,5,112,124
430,"Central Park",Yost-Schmeler,2009-11-24,6,838,130
431,"Hector and the Search for Happiness","Pfeffer Inc",2000-04-20,4,894,224
432,Up!,Quitzon-Wintheiser,2009-06-15,4,237,21
433,"Up the River",Fritsch-Bailey,2000-11-27,2,784,20
434,"Bullfighter and the Lady","Ziemann LLC",2005-05-02,3,814,72
435,"Wassup Rockers","Spinka, Kohler and Bernier",1996-07-07,2,764,237
436,"BBOY for LIFE","Maggio and Sons",2006-05-12,2,935,85
437,"Blood Diamond",D'Amore-McKenzie,1999-03-08,1,112,87
438,"Entertaining Angels: The Dorothy Day Story","Schaefer, Baumbach and Fisher",2015-02-23,4,973,250
439,"Sweet November","Hand and Sons",1991-02-06,5,827,101
440,"Daffy Duck's Movie: Fantastic Island","Beer, Keeling and Davis",2003-06-16,3,921,123
441,"Justice League: War",Jacobi-Lockman,2021-06-28,1,430,245
442,"All the Pretty Horses",Keeling-Kassulke,2012-08-27,2,52,54
443,"Fantasy Mission Force (Mi ni te gong dui)",Olson-Bailey,1986-03-03,2,870,180
444,Motorama,"Blanda Inc",1985-11-06,4,443,185
445,"As Long as You've Got Your Health (Tant qu'on a la santé)","Daniel, Dare and Botsford",1995-02-01,5,325,56
446,Punchline,"Flatley, Langworth and Yost",1985-08-03,4,717,20
447,"Koumiko Mystery, The (Mystère Koumiko, Le)","DuBuque Group",2005-05-26,5,945,229
448,"Hell Up in Harlem","Hauck, Heidenreich and Treutel",2018-08-10,6,772,146
449,"The Magnificent Trio",Smith-McDermott,2004-01-08,2,282,227
450,"Observe and Report","Will and Sons",2005-05-05,3,402,151
451,"Constant Nymph, The",Rempel-Rippin,2001-05-21,2,965,245
452,"End of the Game (Der Richter und sein Henker)",Bogan-D'Amore,2014-11-30,6,898,80
453,"Human Planet","Lakin Inc",2012-07-02,1,652,243
454,"Screaming Skull, The","Oberbrunner Inc",2003-02-10,3,241,200
455,"Girl, The","Becker, Tromp and Turner",2017-05-06,3,104,103
456,"Dog Run","Gibson and Sons",2016-12-13,4,520,137
457,"Chang: A Drama of the Wilderness","Roob and Sons",1992-12-19,6,291,234
458,"Mr. Woodcock","Block, Cronin and Mitchell",1988-01-28,1,799,210
459,"Mambo Kings, The","Hermann, Nikolaus and Altenwerth",1991-12-03,6,504,119
460,Choke,"Sauer, Tromp and Okuneva",2004-06-21,3,715,218
461,"Thief Who Came to Dinner, The",Schuppe-Runte,1996-12-29,1,558,164
462,"Call Me Savage","Graham, Little and Heller",2005-11-25,1,11,46
463,"Last Frontier, The","Huels and Sons",2002-09-01,1,951,39
464,"Children of the Corn V: Fields of Terror","Schaden, Hudson and Leuschke",1989-05-28,5,644,97
465,"Mr. Moto Takes a Chance","Gulgowski, Romaguera and Yost",2002-01-09,5,760,61
466,"The Voices","Ruecker Inc",2012-09-11,1,920,54
467,"Three Strangers",Volkman-Schimmel,2015-01-22,6,855,145
468,"Pleasure of Being Robbed, The","Miller, Barton and Satterfield",1994-06-11,5,368,32
469,"Les Lyonnais","Bradtke LLC",2015-05-17,4,309,111
470,"Q & A","Kshlerin Group",2004-02-03,6,548,7
471,"Good Thief, The","Green Group",1999-06-29,1,820,54
472,"Why Do Fools Fall In Love?","Lebsack Inc",2007-07-16,5,995,184
473,"Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak)","Abshire and Sons",2015-04-08,6,533,56
474,"Pirates! Band of Misfits, The","Labadie Inc",2020-10-13,3,588,53
475,"Love Me No More (Deux jours à tuer)","Steuber Inc",1988-10-21,4,204,195
476,"Commitments, The",Murray-Lang,2021-03-05,1,171,63
477,"Bourne Legacy, The","Schroeder, Thiel and Wunsch",2022-06-17,1,447,10
478,"Dark at the Top of the Stairs, The","Quigley Inc",2008-10-23,4,452,242
479,"Beck - Öga för öga","Parker, Leuschke and Dach",2002-07-25,6,761,11
480,"Education for Death","Skiles and Sons",2015-12-03,3,290,174
481,"Tree, The","Leannon and Sons",2015-11-24,4,290,18
482,Chiko,"Breitenberg, Lindgren and Block",1986-09-06,3,507,121
483,"Wristcutters: A Love Story","Emard, Moen and Beahan",2016-05-25,4,209,243
484,"A Spell to Ward Off the Darkness","Fahey, Keebler and Jacobi",2014-08-09,2,198,140
485,"Saving Face",Mertz-Larkin,2002-05-03,3,183,141
486,"Die Hard: With a Vengeance","Goodwin, Johnson and Herzog",2010-09-21,6,103,7
487,"Report to the Commissioner","Zulauf Inc",1986-04-15,6,693,11
488,"Night in Heaven, A",Jakubowski-Hammes,1997-04-16,3,490,101
489,"Heartbreak Kid, The",Flatley-Runte,2009-02-07,2,337,137
490,"Gravedancers, The",McDermott-Halvorson,1996-03-28,6,346,173
491,Liliom,"Toy Group",2014-07-21,1,982,156
492,"Blob, The","Collins and Sons",2000-07-03,2,232,12
493,"Gold Rush, The","Pouros Inc",2021-08-28,5,544,188
494,Tombstone,"Kris, Denesik and Grady",2015-11-04,3,863,126
495,"Colors of the Mountain, The (Los colores de la montaña)","Harvey, Schumm and Veum",2017-10-01,2,732,136
496,Sublime,"Collier and Sons",1989-06-05,1,980,96
497,"Ricky Gervais Live 2: Politics",Kemmer-Konopelski,2006-03-08,4,261,149
498,"Vampire Girl vs. Frankenstein Girl (Kyûketsu Shôjo tai Shôjo Furanken)","Cole and Sons",2001-02-02,5,384,60
499,Lascars,"Lemke LLC",2013-10-05,4,297,157
500,Saved!,"Watsica and Sons",2004-08-08,2,939,211
501,"Arrival of a Train, The","Koelpin, Nitzsche and Hills",1987-08-29,6,518,164
502,Memento,Upton-Watsica,2002-10-20,4,377,135
503,"Adult Camp","Boyer LLC",2021-10-23,1,459,125
504,"For Ellen","Crona, Gerhold and Rice",2007-12-13,2,836,84
505,"Sophie Scholl: The Final Days (Sophie Scholl - Die letzten Tage)",Russel-Lang,2023-12-18,5,937,65
506,"Young Thugs: Nostalgia (Kishiwada shônen gurentai: Bôkyô)",Heaney-Murazik,2008-05-03,4,107,160
507,"Basket Case 3: The Progeny","Frami and Sons",2013-03-26,2,873,10
508,"Night Strangler, The","Lueilwitz, Roberts and Roberts",2004-12-28,3,83,7
509,"More American Graffiti",Doyle-Miller,2001-09-04,5,546,85
510,"Attack from Space","Buckridge and Sons",2017-08-10,5,72,161
511,"Children of Huang Shi, The","Haley, Rowe and Runolfsson",2008-07-18,6,481,189
512,"My Prairie Home","McKenzie Inc",2009-02-16,3,278,128
513,Wieners,Kirlin-Lang,2013-10-17,6,275,194
514,"Son of Kong, The","Johns, Koelpin and Grimes",2016-04-25,6,967,70
515,"Ski Party","Grimes, Kohler and Raynor",2018-04-10,2,726,113
516,"Wedding Belles","Brekke Group",2011-04-14,3,735,124
517,Hideaway,"Orn, Hettinger and Flatley",1986-06-06,4,401,203
518,"Gorgeous Hussy, The","Rutherford, Konopelski and Beier",2019-12-03,5,105,40
519,"Hysteria: The Def Leppard Story",Kilback-O'Reilly,2016-10-09,6,203,247
520,"The Message",Erdman-Jast,2017-12-14,5,254,200
521,"One in a Million: The Ron LeFlore Story",Lang-Christiansen,1995-03-07,4,315,196
522,"Caine Mutiny Court-Martial, The","Satterfield LLC",2017-12-05,1,977,92
523,"Film Noir: Bringing Darkness to Light","Larson Inc",2006-09-16,5,378,155
524,"Trust Me","Mayer, Paucek and Pfannerstill",2004-04-08,3,85,127
525,Maidentrip,"Weissnat Group",2016-01-19,6,433,89
526,"Ladies They Talk About","Kovacek and Sons",2015-09-21,6,74,177
527,"All This, and Heaven Too","Konopelski Inc",2007-02-15,6,52,80
528,"Cold Sweat (De la part des copains)","Feil and Sons",1988-08-05,2,928,196
529,"Mad Dogs & Englishmen","Hermiston LLC",2014-05-22,5,589,102
530,"Police Academy 3: Back in Training","Tromp, Beier and Lehner",2004-10-24,2,381,35
531,"Forget me not","Abbott LLC",1999-09-06,6,931,72
532,"Attack of the 50 Ft. Woman","Osinski, Bernhard and Anderson",2010-04-06,4,989,118
533,"Street with No Name, The","Bode Inc",2002-09-28,2,817,167
534,"I Am You (In Her Skin)",Wyman-Dooley,2000-09-08,5,329,229
535,"Beauty Is Embarrassing","Raynor, Schmeler and Weimann",2009-11-03,4,932,58
536,"Changing Sides (De l'autre côté du lit)","Pacocha LLC",2008-10-04,3,809,35
537,"Great White Silence, The",Anderson-Toy,2001-05-28,5,811,89
538,"Greatest Game Ever Played, The",Braun-Koepp,2007-12-02,4,840,37
539,"After School Special (a.k.a. Barely Legal)",Pouros-Treutel,2011-05-06,3,199,170
540,"Heavy Metal in Baghdad","Collier and Sons",2000-09-12,5,120,86
541,"Damn Yankees!","Lakin, Lowe and Mayert",2013-03-16,3,17,39
542,"Dirty Work",Cormier-Koch,2006-08-05,2,960,244
543,"Space Milkshake",Becker-Moore,1986-02-23,5,146,208
544,"Thank You for Smoking",Jacobi-Farrell,2022-05-28,6,87,115
545,"Parallel Sons",Kling-Fay,1997-07-22,5,438,21
546,"Scalphunters, The","Wuckert and Sons",2023-03-01,2,397,3
547,Goyokin,Macejkovic-Cormier,1997-06-10,5,130,67
548,"Left Behind: The Movie","Strosin, Padberg and Emard",1998-05-05,2,658,111
549,"Human Condition I, The (Ningen no joken I)","Hoeger, Bins and Okuneva",2013-09-05,5,475,68
550,Matinée,Abshire-Miller,1989-01-28,4,593,235
551,"Futurama: Bender's Game","Jerde Group",2016-06-22,3,703,180
552,"The DUFF","Olson, O'Connell and Ortiz",1998-10-01,3,619,148
553,"Counterfeiters, The (Die Fälscher)",Stroman-Jakubowski,1987-08-07,3,494,113
554,"Adult World","Ferry, Price and Klein",1995-09-24,3,317,238
555,"Loss of a Teardrop Diamond, The","Predovic, Konopelski and Gulgowski",2022-06-12,1,810,21
556,"Hello I Must Be Going",Beahan-Kuhlman,2020-09-12,2,719,97
557,Goon,Thompson-Hirthe,2009-11-02,3,864,28
558,"Stranger in Town, A",Dickinson-Roberts,2008-05-19,3,206,219
559,Hamlet,Ledner-Murazik,2011-07-10,6,679,154
560,"Noi the Albino (Nói albinói)","Gislason Group",2013-01-01,2,255,20
561,"Great Yokai War, The (Yôkai daisensô)","Collins, Nikolaus and Kris",2003-05-07,1,546,185
562,"People I Know","Jaskolski and Sons",2007-08-03,5,394,196
563,"Burning, The","Swaniawski, Hoppe and Cummerata",1991-09-05,5,518,125
564,Holes,"Sanford, Hessel and Streich",1996-07-16,6,942,243
565,"Pope Joan (Die Päpstin)",Cole-Koepp,2009-07-28,1,847,54
566,"God of Cookery (Sik san)","Gibson, Rodriguez and Dooley",1993-01-14,2,430,173
567,"Holding, The","Cartwright Inc",2006-03-05,6,476,116
568,"Mother's Day","Ziemann, Walker and Price",1988-06-28,4,852,135
569,"Truth About Charlie, The","Block and Sons",1999-10-24,1,280,242
570,"Cat Ballou",Lebsack-Durgan,2018-10-06,3,853,28
571,"What's Love Got to Do with It?","Rutherford LLC",2012-08-30,1,526,30
572,"Magic Town","Lindgren Group",2021-12-17,2,854,172
573,"Mount Head (Atama yama)",Cassin-Schumm,2014-10-13,4,833,175
574,"Girl Shy","Fadel, Metz and Abshire",2010-05-14,1,29,219
575,"Of Time and the City",Leannon-Jones,1996-08-16,1,531,30
576,"Rebirth of Mothra II",Auer-Reilly,1994-03-04,1,173,136
577,"Rich, Young and Pretty","Bahringer Group",2010-05-22,5,224,153
578,"Puppet Master vs. Demonic Toys (Puppet Master 9)","Satterfield, Shields and Hettinger",2007-01-26,4,663,242
579,"Clonus Horror, The","Pouros, Dickens and Gusikowski",2022-07-07,1,345,78
580,"Crime Lords of Tokyo","Raynor, Purdy and Welch",1985-04-08,5,277,129
581,"Thunderbolt and Lightfoot","Gutmann Inc",1994-04-16,4,497,138
582,"Appaloosa, The","Dooley, Bechtelar and Romaguera",2003-08-01,6,710,77
583,"Westerner, The","Jaskolski, Graham and Yundt",1999-08-24,4,553,59
584,"American Violet","Harris LLC",1988-07-16,5,457,122
585,"Little Hamlet",Nicolas-Daniel,2020-05-16,4,807,69
586,"Final Destination","Doyle, Kuvalis and Schaden",2023-09-28,6,909,52
587,"Getting Any? (Minnâ-yatteruka!)","Collier, Koepp and Nienow",1993-03-12,3,136,105
588,"Silence, The (Tystnaden)","Deckow Inc",2023-12-23,4,703,185
589,"Lotta 2: Lotta flyttar hemifrån",O'Hara-Collins,2022-12-18,4,911,66
590,Gunless,"Hermiston and Sons",2002-08-02,5,945,168
591,"Into Great Silence (Die große Stille)","Heller, Lesch and Kovacek",1989-05-21,4,746,230
592,Raajneeti,Purdy-Pacocha,2017-01-16,4,582,98
593,"Last of Robin Hood, The","Ruecker and Sons",1989-11-22,4,667,65
594,"Humboldt County",Renner-Langworth,2000-10-24,4,624,233
595,"Murder, My Sweet","Deckow Group",2016-01-06,1,282,38
596,Manic,O'Conner-Hackett,1993-07-02,6,120,101
597,"Ju-on: The Beginning of the End (Ju-on: Owari no hajimari)","Lowe and Sons",2012-01-09,5,460,72
598,"Barnacle Bill","Hackett, Jerde and Bogisich",1999-08-05,1,626,196
599,"Santa Claus","Emmerich LLC",1996-06-12,1,250,150
600,Wilderness,Hegmann-Gulgowski,1985-04-21,5,713,216
601,"Snow Queen",Wolff-Paucek,2009-06-10,3,690,7
602,"Girl on the Train, The (La fille du RER)",Morar-Torphy,2018-03-11,1,392,165
603,Vamps,Blick-Littel,1994-11-21,1,357,16
604,"In Your Hands","Cruickshank LLC",1990-03-14,1,913,161
605,"Four Seasons (Seasons, The) (Vremena goda)","Schinner LLC",2009-10-10,2,533,97
606,"Condo Painting",Brekke-O'Hara,2008-07-28,3,262,209
607,"Manta, Manta",Herman-Schneider,1992-01-26,6,401,203
608,"Kiss of Death","Reilly, Labadie and Langworth",1994-07-02,6,564,125
609,"Pépé le Moko","Schroeder Inc",2005-03-20,4,18,188
610,"Thin Ice",Wunsch-Sporer,2013-04-30,6,634,95
611,"Summer School",Strosin-Hills,2009-03-03,3,927,162
612,"Prom Night III: The Last Kiss","Bartoletti, Fisher and Macejkovic",1985-09-13,2,102,153
613,"Cruel Romance, A (Zhestokij Romans)","Kertzmann, Dooley and Aufderhar",1989-04-14,2,873,144
614,"Scott Pilgrim vs. the World",D'Amore-Roob,1997-01-28,4,731,130
615,"The Lost Prince","Cormier LLC",2016-01-22,4,362,229
616,"Training Day",Ziemann-Herzog,1989-06-05,6,774,243
617,"This Is the Night","Lehner, Lesch and Toy",2005-12-16,2,903,125
618,"Sky Crawlers, The (Sukai kurora)","Spinka and Sons",2017-09-05,3,485,139
619,"Ax, The (couperet, Le)","Luettgen Inc",2000-02-27,1,86,104
620,"Leafie, a Hen Into the Wild (Madangeul Naon Amtak)","Gislason Inc",1996-08-30,3,249,235
621,"Of Love and Shadows",Friesen-Hills,2022-12-25,5,387,250
622,"Mushrooming (Seenelkäik)","Cruickshank, Wiza and Hyatt",2002-09-21,3,290,194
623,"Ed Wood","Pollich, Roberts and Haley",2014-09-12,2,986,213
624,Lonesome,"Koelpin LLC",2006-09-03,2,463,26
625,"Who's Harry Crumb?","Jakubowski and Sons",2015-10-31,6,432,5
626,"Gardens of the Night","Hane and Sons",2017-11-28,1,382,13
627,"Living Death","Rath, Goodwin and Adams",2002-11-16,4,411,158
628,"Get Thrashed: The Story of Thrash Metal",Hyatt-Hoeger,1997-05-19,1,705,126
629,"Petting Zoo","Abernathy Inc",1994-10-27,6,178,52
630,"Destination Gobi","Wunsch LLC",1997-07-12,6,528,244
631,"Sol ","Fritsch, Spencer and Connelly",2003-04-10,5,179,246
632,Pulp,"Mayer, Witting and Turner",1992-06-11,6,832,37
633,"Requiem for a Heavyweight","Pacocha, Mayer and Jacobi",2000-11-22,6,582,232
634,"Torch Song","McGlynn, Hammes and Morissette",2004-09-25,4,530,228
635,"The Land Before Time VII: The Stone of Cold Fire","Hermiston Group",2001-07-31,6,582,105
636,"Gods and Generals","Will and Sons",2003-07-10,5,451,41
637,"Lars and the Real Girl","Ernser Group",2003-07-30,4,595,184
638,"Cops and Robbersons",Gerhold-Tillman,2003-03-12,1,141,59
639,"Shut Up & Sing","Schuster, Bins and Bartell",1987-03-15,3,475,173
640,"Monsters vs. Aliens",Schmeler-Powlowski,1991-02-17,4,4,225
641,"Army of Darkness","Sauer and Sons",1995-11-04,1,886,47
642,"Jungle2Jungle (a.k.a. Jungle 2 Jungle)","Brown, Schmitt and Crona",2015-07-08,1,789,207
643,"Civil War, The","Breitenberg, VonRueden and Moore",1989-08-05,6,302,164
644,Gloria,"Effertz and Sons",1999-01-06,4,422,144
645,"Clandestine Childhood","Williamson, Yundt and Feil",2023-11-15,1,768,113
646,"Eyes of the Mothman","Lemke, Kozey and Altenwerth",1999-07-27,6,326,237
647,Karla,"Durgan and Sons",2019-09-22,3,595,41
648,Kauwboy,Schneider-Kemmer,2004-11-11,6,494,149
649,"Peach Thief, The (Kradetzat na praskovi)","Dare Inc",2020-08-03,4,262,131
650,"Brothers: The Return","Predovic, Wilderman and Hahn",2017-11-18,6,205,6
651,"F for Fake (Vérités et mensonges)","Erdman, Green and Kiehn",1990-07-19,1,607,193
652,"Critical Condition","Dibbert and Sons",2019-09-19,5,185,189
653,"English Surgeon, The","Windler Inc",1988-01-30,5,145,148
654,"On the Beach","Shields, Labadie and Kozey",1986-04-14,5,875,240
655,"Single Man, A","Smitham, Murphy and Bailey",2012-04-13,5,719,198
656,"Darktown Strutters (Get Down and Boogie)",Blick-Boehm,2002-10-26,2,255,144
657,"Spaced Invaders","Haley Inc",1992-03-06,1,739,67
658,Deadline,"Senger Inc",1985-07-31,5,806,84
659,Marat/Sade,Morissette-Russel,2001-04-10,1,843,18
660,"Scorching Winds (Garm Hava) (Garam Hawa)","Halvorson LLC",1986-01-20,1,115,117
661,Carmen,Satterfield-Torphy,2009-10-26,3,773,35
662,"Run, Man, Run! (Corri uomo corri)","Jones, Murazik and Wisoky",2012-08-21,5,913,5
663,Dumbo,"Kris, Veum and Effertz",2005-07-16,5,85,43
664,"Terror in a Texas Town","Haag and Sons",2017-02-15,2,679,229
665,"Five People You Meet in Heaven, The",Lind-Denesik,2007-01-08,6,906,21
666,"Doctor Bull",Emmerich-Jaskolski,1989-12-22,4,360,176
667,"Before I Self Destruct","Oberbrunner and Sons",2000-12-17,2,598,137
668,"Baader Meinhof Komplex, Der",Kling-Mills,1995-05-26,5,823,205
669,May,Williamson-Erdman,2005-09-21,2,437,170
